link,title,Text,Subject,label
https://wardheernews.com/qaraxii-muqdisho-masiibo-qaran-iyo-hoggaan-fadhiid-ah/#comments,Masiibo Qaran iyo Hoggaan Fadhiid ah: Qaraxii Muqdisho,masiibo qaran iyo hoggaan fadhiid ah qaraxii muqdisho,Security,1
https://wardheernews.com/a-million-people-face-starvation-in-somalia-as-funding-dries-up/,A million people face starvation in Somalia as funding dries up,million peopl face starvat somalia fund dri,General,1
https://wardheernews.com/african-union-summit-clouded-by-saudi-uae-rivalry-in-horn-of-africa/,African Union summit clouded by Saudi-UAE rivalry in Horn of Africa,african union summit cloud saudiua rivalri horn africa,General,1
https://wardheernews.com/as-u-s-bombs-somalia-israel-shakes-status-quo-on-horn-of-africa/,"As U.S. Bombs Somalia, Israel Shakes Status Quo on Horn of Africa",u bomb somalia israel shake statu quo horn africa,Security,1
https://wardheernews.com/assenger-decries-unfair-treatment-by-ethiopian-airlines/#comments,assenger decries unfair treatment by Ethiopian Airlines,asseng decri unfair treatment ethiopian airlin,General,1
https://wardheernews.com/african-union-reiterates-support-for-somalia-unity/,African Union reiterates support for Somalia unity,african union reiter support somalia uniti,General,1
https://www.theguardian.com/world/2026/feb/17/ukraine-war-briefing-kyivs-forces-made-fastest-battlefield-gains-since-2023-analysis-finds,"Ukraine war briefing: Kyiv’s forces made fastest battlefield gains since 2023, analysis finds",ukrain war brief kyiv forc made fastest battlefield gain sinc analysi find,General,1
https://wardheernews.com/somalias-foreign-policy-a-spectacle-of-incompetence/,Somalia’s Foreign Policy — A Spectacle of Incompetence,somalia foreign polici spectacl incompet,General,1
https://wardheernews.com/aid-cuts-and-lack-of-jobs-leave-displaced-mothers-in-dusamareb-camp-unable-to-feed-their-children/,Aid cuts and lack of jobs leave displaced mothers in Dusamareb camp unable to feed their children,aid cut lack job leav displac mother dusamareb camp unabl feed child,General,1
https://wardheernews.com/african-union-summit-opens-as-youth-anger-grows-over-a-bloc-of-old-leaders/,African Union summit opens as youth anger grows over a ‘bloc of old leaders’,african union summit open youth anger grow bloc old leader,General,1
https://wardheernews.com/why-is-egypt-bolstering-ties-with-somalia-now/,Why is Egypt bolstering ties with Somalia now?,egypt bolster tie somalia,General,1
https://www.theguardian.com/media/2026/feb/16/anderson-cooper-to-leave-60-minutes,Anderson Cooper to leave 60 Minutes amid turmoil at CBS News,anderson cooper leav minut amid turmoil cb news,General,1
https://wardheernews.com/egypt-backs-somalia-unity-rejects-unilateral-recognition-fm-to-somali-counterpart/,"Egypt backs Somalia unity, rejects unilateral recognition: FM to Somali counterpart",egypt back somalia uniti reject unilater recognit fm somali counterpart,General,1
https://www.theguardian.com/world/middleeast,All Middle East and north Africa stories,middl east north africa stori,General,1
https://wardheernews.com/turkiye-to-launch-oil-exploration-off-somalia-with-cagri-bey-drill-ship/,Türkiye to launch oil exploration off Somalia with Cagri Bey drill-ship,trkiy launch oil explor somalia cagri bey drillship,General,1
https://wardheernews.com/south-korea-how-a-280-billion-baby-plan-failed-and-what-it-says-about-modern-society/,South Korea – How a $280 Billion Baby Plan Failed and What It Says About Modern Society,south korea billion babi plan fail say modern societi,General,1
https://wardheernews.com/ethiopias-cash-cow-the-kenni-cabal-draining-thesomali-region/,Ethiopia’s Cash Cow: The Kenni Cabal Draining the Somali Region,ethiopia cash cow kenni cabal drain somali region,General,1
https://wardheernews.com/our-unhealing-nation-the-silence-of-somali-art-and-the-aesthetics-of-ruin/,Our Unhealing Nation—The Silence of Somali Art and the Aesthetics of Ruin,unheal nationth silenc somali art aesthet ruin,General,1
https://wardheernews.com/gedos-agony-how-gedo-elites-abandon-their-people-amidst-mogadishu-and-jubbalands-power-struggles/,Gedo’s Agony: How Gedo Elites Abandon Their People Amidst Mogadishu and Jubbaland’s Power Struggles,gedo agoni gedo elit abandon peopl amidst mogadishu jubbaland power struggl,General,1
https://www.theguardian.com/uk-news/2026/feb/16/six-sarah-ferguson-linked-companies-to-close-after-epstein-revelations,Six Sarah Ferguson-linked companies to close after Epstein revelations,six sarah fergusonlink compani close epstein revel,General,1
https://halgan.net/2026/02/madaxweynaha-puntland-oo-gaaray-magaalada-muqdisho/,Madaxweynaha Puntland oo gaaray magaalada Muqdisho.,madaxweynaha puntland oo gaaray magaalada muqdisho,General,1
https://halgan.net/2026/02/golaha-wasiirada-ee-jubaland-oo-yeeshay-kulan/,Golaha Wasiirada ee Jubaland oo yeeshay kulan,golaha wasiirada ee jubaland oo yeeshay kulan,General,1
https://wardheernews.com/tensions-in-mogadishu-opposition-leaders-get-restricted-airport-access/,Tensions in Mogadishu: Opposition Leaders Get Restricted Airport Access,tension mogadishu opposit leader get restrict airport access,General,1
https://halgan.net/2026/02/dfs-oo-war-ka-soo-saartay-diyaaradihii-maanta-laga-celiyey-muqdisho/,DFS oo war ka soo saartay Diyaaradihii maanta laga celiyey Muqdisho.,df oo war ka soo saartay diyaaradihii maanta laga celiyey muqdisho,General,1
http://halgan.net/2018/11/shirkii-golaha-shuurada-ee-muasasada-ema-oo-lagu-soo-afmeeray-magaalada-malmo-masawiro/,Shirkii Golaha Shuurada ee Mu’asasada EMA. oo lagu soo afmeeray magaalada Malmö.,shirkii golaha shuurada ee muasasada ema oo lagu soo afmeeray magaalada malm,General,1
