ID,Title,Text,Category,Label
1,Adigoo isticmaalaya daldaloolo yar oo la yaqaan ... Minions Obama waxay u oggolaanayaan Shirkadda Nestle inay ka dhoofiso biyaha macaan ee qaaliga ah harada Michigan.,Ayaa sheegay in sharciga ilmo iska soo xaaqidda Texas ee aan lagu guulaysan uu taageeray inta badan Texans.,Guud,0
2,Waxay dib u dhigeen dhaartii aan ku dhaartay halkan Massachusetts dhawr toddobaad si ay ugu soo baxaan (sharciga daryeelka caafimaadka).,"Markii uu Congressman Langevin la wareegay xafiiska, gaasku wuxuu ahaa $1.70 halkii gallon, haddana wuxuu ku dhow yahay $4 halkii gallon.",Guud,0
3,Waxay dib u dhigeen dhaartii aan ku dhaartay halkan Massachusetts dhawr toddobaad si ay ugu soo baxaan (sharciga daryeelka caafimaadka).,"Waxay sheegtay in marka loo eego daraasadda, iyada oo la raacayo hindisaha daryeelka caafimaadka Obamas, ku dhawaad ​​90 boqolkiiba dadka ku nool Wisconsin ee leh caymiska caafimaadka waxay yeelan doonaan kharashaadkooda in ka badan 30 boqolkiiba.",Caafimaadka,0
4,"Wuxuu sheegay inuu mas'uuliyad ammaan ah ka saaran yahay ganacsigiisa, qoyskiisa iyo shaqaalihiisa inaysan bixin wax canshuur ah oo ka badan inta sharci ahaan looga baahan yahay.","Canshuurta guryaha, oo ay ku timid jamhuuriyada sida Teddy Roosevelt iyo kuwa kale ... ma u jirtaa sabab dhab ah oo fudud: Ameerika, waligeed ma aan jeclayn fikradda hantida la dhaxlo ee ballaaran.",Guud,0
5,"Hillary Clinton ayaa sheegtay in 30 maalmood ay isbitaalka ku jirtay sanadkii 2012-kii, ayna ka soo muuqatay iyadoo xiran muraayado kaliya oo loogu talagalay dadka qaba dhaawacyada maskaxda.","Hillary Clinton ayaa sheegtay in 30 maalmood ay isbitaalka ku jirtay sanadkii 2012-kii, ayna ka soo muuqatay iyadoo xiran muraayado kaliya oo loogu talagalay dadka qaba dhaawacyada maskaxda.",Guud,0
6,Wuxuu sheegay in aadan burburin karin qoryaha lagu soo iibsaday barnaamijka dib u soo celinta sida magaalada (Memphis) ay rabto inay sameyso.,Wuxuu sheegay in aadan burburin karin qoryaha lagu soo iibsaday barnaamijka dib u soo celinta sida magaalada (Memphis) ay rabto inay sameyso.,Guud,0
7,"Madaxweyne Eisenhower, habeen ka hor duulaankii Normandy...[wuxuu qoray] warqad istiqaalad ah oo uu u diray ciidamada Mareykanka fashilka ku yimid lan.","Madaxweyne Eisenhower, habeen ka hor duulaankii Normandy...[wuxuu qoray] warqad istiqaalad ah oo uu u diray Ciidanka Mareykanka fashilka ku yimid degitaanka Normandy.",Siyaasadda,0
8,"Bishii Luulyo 2010 dawladdu waxay sheegtay in ganacsiyada yaryar -- 60 boqolkiiba -- ay waayi doonaan daryeelkooda caafimaad, 45 boqolkiiba ganacsiga waaweyn iyo boqolkiiba ballaaran ee i","Waxaan leenahay hadafka ah 10 boqolkiiba qandaraasyada [City of Providence] ee haweenka iyo ganacsiyada laga tirada badan yahay. Dhab ahaantii, in ka yar boqolkiiba 1 qandaraasyadu waxay aadayaan haweenka iyo ganacsiyada laga tirada badan yahay.",Dhaqaalaha,0
9,"Bishii Luulyo 2010 dawladdu waxay sheegtay in ganacsiyada yaryar -- 60 boqolkiiba -- ay waayi doonaan daryeelkooda caafimaad, 45 boqolkiiba ganacsiga waaweyn iyo boqolkiiba ballaaran ee i",Ayaa sheegay in sharciga ilmo iska soo xaaqidda Texas ee aan guulaysan ay taageereen inta badan Texans.,Guud,0
10,Mareykanka ayaa leh tirada ugu badan ee laga jarayo ay heli karaan shirkadaha canshuurta dakhliga shirkadda.,Mareykanka ayaa leh tirada ugu badan ee laga jarayo ay heli karaan shirkadaha canshuurta dakhliga shirkadda.,Guud,0
11,"Hamburgers McDonalds waa kaliya 15 boqolkiiba hilibka lo'da dhabta ah. Boqolkiiba 85ka kale waa buuxinta hilibka oo lagu nadiifiyey ammonia, taasoo sababta caloosha iyo mindhicirka",Gov. Terry McAuliffe ayaa dhowr jeer sheegay inuu jeclaan lahaa inuu noqdo xoghaye golaha wasiirada maamulka Clinton.,Siyaasadda,0
12,"[Tamarta la cusboonaysiin karo] mashaariicda . . . naga saara shiidaalka shisheeye oo talaabo talaabo naga saara, qalafsanaantan shisheeye ee ay tahay in aynu galno si aynu u difaacno",[Tamarta la cusboonaysiin karo] mashaariicda . . . naga saara shidaalka shisheeyaha oo talaabo talaabo ah naga saara khalkhal galintan shisheeyaha ah ee ay tahay in aynu galno si aynu u difaacno shidaalkeena.,Guud,0
13,"Hamburgers McDonalds waa kaliya 15 boqolkiiba hilibka lo'da dhabta ah. Boqolkiiba 85ka kale waa buuxinta hilibka oo lagu nadiifiyey ammonia, taasoo sababta caloosha iyo mindhicirka","Hamburgers McDonalds waa kaliya 15 boqolkiiba hilibka lo'da dhabta ah. Boqolkiiba 85ka kale waa buuxinta hilibka oo lagu nadiifiyey ammonia, kaasoo sababa kansarka caloosha iyo mindhicirka.",Guud,0
14,"Ayeey tiri Madaxweyne Obamas ayeeyada oo ku sugan dalka Kenya ayaa sheegtay in uu ku dhashay Kenya, iyaduna ay joogtay oo ay goobjoog ka ahayd dhalashada.",Waxa la iga mamnuucay in aan ka hadlo Bill Ayers intii lagu jiray ololihii madaxtooyada ee 2008.,Guud,0
15,"Waxa uu yidhi Sen. Luther Olsen, oo ah mucaaridkiisii ​​dib u soo celinta, waxa uu taageeray iibinta wershadaha korontada ee ay dawladdu leedahay ee aan loo iibin shirkadda ugu sarraysa, balse loo iibgeeyo deeq-bixiyeyaasha ugu waaweyn","Waxa uu yidhi Sen. Luther Olsen, oo ah mucaaridkiisii ​​dib u soo celinta, waxa uu taageeray iibinta wershadaha korontada ee dawladu leedahay ee aan loo iibin shirkadaha ugu sareeya, laakiin deeq-bixiyayaasha ugu wayn ee aan wax kormeer ah lahayn.",Guud,0
16,Soo celinta tirakoobka hore waxay muujinaysaa in konserfatifyadu ay aad uga yar yihiin kuwa xorta ah inay soo celiyaan foomamka tirakoobka.,Soo celinta tirakoobka hore waxay muujinaysaa in konserfatifyadu ay aad uga yar yihiin kuwa xorta ah inay soo celiyaan foomamka tirakoobka.,Guud,0
17,"marijuana-caafimaadka kaligeed ma heli doonto bukaankaas sare, iyada oo aan loo eegin heerka THC, CBD ama wax kasta oo kale oo laga helo geedka.","marijuana-caafimaadka kaligeed ma heli doonto bukaankaas sare, iyada oo aan loo eegin heerka THC, CBD ama wax kasta oo kale oo laga helo geedka.",Caafimaadka,0
18,Waxa la iga mamnuucay in aan ka hadlo Bill Ayers intii lagu jiray ololihii madaxtooyada ee 2008.,"Toddobaadkii hore, Maxkamadda Sare waxay laashay sharci qarniyaal ah oo aan aaminsanahay inay furi doonto daadka dano gaar ah oo ay ku jiraan shirkadaha shisheeye inay kharash la'aan ku qaataan doorashadayada.",Guud,0
19,Waxa uu yidhi George Soros iyo Bill Gates ayaa maalgelinaya shaybaadhka bioweapons ee Sierra Leone kaas oo sababay dillaaca Ebola.,Waxa uu yidhi George Soros iyo Bill Gates ayaa maalgelinaya shaybaadhka bioweapons ee Sierra Leone kaas oo sababay dillaaca Ebola.,Guud,0
20,Waxa jira caddayn isa soo taraya oo muujinaya in shucaac ka badan waxa ay dawladdu tidhaahdo ay yihiin cadadka ugu yar ee ay tahay in lagugu soo bandhigo dhab ahaantii.,Waxa jira cadaymo badan oo isa soo taraya oo muujinaya in shucaaca ka badan waxa ay dawladu sheegtay in ay yihiin cadadka ugu yar ee laguu soo bandhigo ay dhab ahaan kuu fiican yihiin oo ay yareeyaan xaaladaha kansarka.,Guud,0
21,"Ayeey tiri Madaxweyne Obamas ayeeyada oo ku sugan dalka Kenya ayaa sheegtay in uu ku dhashay Kenya, iyaduna ay joogtay oo ay goobjoog ka ahayd dhalashada.","Ayeey tiri Madaxweyne Obamas ayeeyada oo ku sugan dalka Kenya ayaa sheegtay in uu ku dhashay Kenya, iyaduna ay joogtay oo ay goobjoog ka ahayd dhalashada.",Siyaasadda,0
