Title,Text,Subject,Label
War hadda soo dhacay: Shaqaalaha Maxkamadda Sare oo Merca ku yeeshay shir muhiim ah,war hadda soo dhacay shaqaalaha maxkamadda sare oo merca ku yeeshay shir muhiim ah magaalada merca waxaa maanta ku shiray xubno ka tirsan maxkamadda sare,Security,0
Xog hoose: Shaqaalaha Wasaaradda Arrimaha Gudaha oo Afgoye ku yeeshay shir muhiim ah,xog hoos shaqaalaha wasaaradda arrimaha gudaha oo afgoy ku yeeshay shir muhiim ah magaalada afgoy waxaa maanta ku shiray xubno ka tirsan wasaaradda arrimaha gudaha,Health,0
Kulan xasaasi ah: Kismaayo oo laga dareemayo dhaqdhaqaaq ka socda Bangiga Dhexe,kulan xasaasi ah kismaayo oo laga dareemayo dhaqdhaqaaq ka socda bangiga dhex dadka deegaanka kismaayo ayaa soo sheegaya bangiga dhex uu bilaabay hawlgal,Finance,0
Wararka saaka: Shaqaalaha Bangiga Dhexe oo Las Anod ku yeeshay shir muhiim ah,wararka saaka shaqaalaha bangiga dhex oo la anod ku yeeshay shir muhiim ah magaalada la anod waxaa maanta ku shiray xubno ka tirsan bangiga dhex,Health,0
Dhacdo lama filaan ah: Shaqaalaha NISA oo Garowe ku yeeshay shir muhiim ah,dhacdo lama filaan ah shaqaalaha nisa oo garow ku yeeshay shir muhiim ah magaalada garow waxaa maanta ku shiray xubno ka tirsan nisa,Security,0
Sir culus: Shaqaalaha Wasaaradda Caafimaadka oo Boosaaso ku yeeshay shir muhiim ah,sir culu shaqaalaha wasaaradda caafimaadka oo boosaaso ku yeeshay shir muhiim ah magaalada boosaaso waxaa maanta ku shiray xubno ka tirsan wasaaradda caafimaadka,Finance,0
War hadda soo dhacay: Shaqaalaha Ciidanka Xoogga oo Merca ku yeeshay shir muhiim ah,war hadda soo dhacay shaqaalaha ciidanka xoogga oo merca ku yeeshay shir muhiim ah magaalada merca waxaa maanta ku shiray xubno ka tirsan ciidanka xoogga,Finance,0
Bayaan rasmi ah: Guddiga Doorashooyinka oo Burao go'aan cusub ku dhawaaqay,bayaan rasmi ah guddiga doorashooyinka oo burao goaan cusub ku dhawaaqay warar laga helay burao ayaa sheegaya guddiga doorashooyinka uu qaaday tallaabo cusub,Security,0
Kulan xasaasi ah: Muqdisho oo laga dareemayo dhaqdhaqaaq ka socda Ciidanka Xoogga,kulan xasaasi ah muqdisho oo laga dareemayo dhaqdhaqaaq ka socda ciidanka xoogga dadka deegaanka muqdisho ayaa soo sheegaya ciidanka xoogga uu bilaabay hawlgal,Health,0
Xog hoose: Shaqaalaha Wasaaradda Arrimaha Gudaha oo Merca ku yeeshay shir muhiim ah,xog hoos shaqaalaha wasaaradda arrimaha gudaha oo merca ku yeeshay shir muhiim ah magaalada merca waxaa maanta ku shiray xubno ka tirsan wasaaradda arrimaha gudaha,Politics,0
Wararka saaka: Isbedel ku yimid Wasaaradda Arrimaha Gudaha ee magaalada Hobyo,wararka saaka isbedel ku yimid wasaaradda arrimaha gudaha ee magaalada hobyo xaaladda hobyo ayaa isbedeshay kadib markii wasaaradda arrimaha gudaha uu soo saaray amar,Health,0
War hadda soo dhacay: Isbedel ku yimid Baarlamaanka ee magaalada Buurhakaba,war hadda soo dhacay isbedel ku yimid baarlamaanka ee magaalada buurhakaba xaaladda buurhakaba ayaa isbedeshay kadib markii baarlamaanka uu soo saaray amar,Security,0
War hadda soo dhacay: Kismaayo oo laga dareemayo dhaqdhaqaaq ka socda Ciidanka Xoogga,war hadda soo dhacay kismaayo oo laga dareemayo dhaqdhaqaaq ka socda ciidanka xoogga dadka deegaanka kismaayo ayaa soo sheegaya ciidanka xoogga uu bilaabay hawlgal,Politics,0
Sir culus: Isbedel ku yimid Wasaaradda Arrimaha Gudaha ee magaalada Jilib,sir culu isbedel ku yimid wasaaradda arrimaha gudaha ee magaalada jilib xaaladda jilib ayaa isbedeshay kadib markii wasaaradda arrimaha gudaha uu soo saaray amar,Politics,0
Xog hoose: Isbedel ku yimid Wasaaradda Maaliyadda ee magaalada Berbera,xog hoos isbedel ku yimid wasaaradda maaliyadda ee magaalada berbera xaaladda berbera ayaa isbedeshay kadib markii wasaaradda maaliyadda uu soo saaray amar,Politics,0
Falanqeyn muhiim ah: Shaqaalaha Bangiga Dhexe oo Qoryooley ku yeeshay shir muhiim ah,falanqeyn muhiim ah shaqaalaha bangiga dhex oo qoryooley ku yeeshay shir muhiim ah magaalada qoryooley waxaa maanta ku shiray xubno ka tirsan bangiga dhex,Security,0
Kulan xasaasi ah: Baydhabo oo laga dareemayo dhaqdhaqaaq ka socda Guddiga Doorashooyinka,kulan xasaasi ah baydhabo oo laga dareemayo dhaqdhaqaaq ka socda guddiga doorashooyinka dadka deegaanka baydhabo ayaa soo sheegaya guddiga doorashooyinka uu bilaabay hawlgal,Health,0
Xog hoose: Isbedel ku yimid Wasaaradda Maaliyadda ee magaalada Beledweyne,xog hoos isbedel ku yimid wasaaradda maaliyadda ee magaalada beledweyn xaaladda beledweyn ayaa isbedeshay kadib markii wasaaradda maaliyadda uu soo saaray amar,Health,0
Sir culus: Shaqaalaha Madaxtooyada oo Boosaaso ku yeeshay shir muhiim ah,sir culu shaqaalaha madaxtooyada oo boosaaso ku yeeshay shir muhiim ah magaalada boosaaso waxaa maanta ku shiray xubno ka tirsan madaxtooyada,Security,0
Go'aan lama filaan ah: Shaqaalaha Wasaaradda Caafimaadka oo Doolow ku yeeshay shir muhiim ah,goaan lama filaan ah shaqaalaha wasaaradda caafimaadka oo doolow ku yeeshay shir muhiim ah magaalada doolow waxaa maanta ku shiray xubno ka tirsan wasaaradda caafimaadka,Finance,0
